book_id,author_id,role
967,290,Goodreads Author
967,291,Translator
968,387,Goodreads Author
969,920,writer
970,921,Goodreads Author
971,922,writer
972,923,Goodreads Author
973,924,Goodreads Author
974,208,Goodreads Author
975,925,writer
976,4,writer
977,926,writer
977,927,writer
977,928,Translator
978,929,writer
978,930,Translator
979,931,writer
980,4,writer
981,78,Goodreads Author
982,932,writer
982,933,Translator
983,750,Goodreads Author
984,934,Goodreads Author
985,469,Goodreads Author
986,935,Goodreads Author
987,936,writer
988,39,writer
989,429,Goodreads Author
990,480,Goodreads Author
991,139,Goodreads Author
992,937,Goodreads Author
993,938,Goodreads Author
994,39,writer
995,599,writer
996,939,Goodreads Author
997,940,Goodreads Author
998,611,Goodreads Author
999,941,writer
999,942,Edito
999,639,writer
1000,423,Goodreads Author
1001,360,Goodreads Author
1001,361,Goodreads Author
1002,382,writer
1003,943,writer
1003,944,Translation
1003,945,Contributor
1004,946,writer
1004,947,Illustrator
1005,948,writer
1006,949,writer
1007,950,Goodreads Author
1008,951,Goodreads Author
1009,653,writer
1010,952,writer
1011,953,writer
1011,954,Translator
1012,955,Goodreads Author
1013,601,writer
1014,827,Goodreads Author
1015,956,writer
1015,957,writer
1016,958,Goodreads Author
1017,959,Goodreads Author
1018,960,Goodreads Author
1018,961,Goodreads Author)
1019,359,Goodreads Author
1020,962,writer
1021,249,Goodreads Author
1022,963,writer
1023,964,Goodreads Author
1024,737,writer
1025,595,Goodreads Author
1026,484,Goodreads Author
1026,965,Goodreads Author)
1027,966,writer
1027,967,Editor & Introduction
1027,968,Illustrator
1027,969,Illustrator
1028,970,writer
1028,971,Editor
1028,972,Introduction
1029,222,Goodreads Author
1030,602,writer
1031,139,Goodreads Author
1032,829,writer
1033,875,writer
1034,973,Goodreads Author
1034,974,Goodreads Author
1035,84,Goodreads Author
1036,975,writer
1036,976,Introduction
1037,779,Goodreads Author
1038,429,Goodreads Author
1039,536,Goodreads Author
1040,977,Pseudonym
1040,2,writer
1041,978,Goodreads Author
1042,78,Goodreads Author
1042,979,Illustrator
1043,470,writer
1044,980,writer
1044,981,Translator
1045,982,writer
1046,983,writer
1046,984,writer
1047,892,writer
1047,985,Introduction
1048,986,Goodreads Author
1049,290,Goodreads Author
1050,51,Goodreads Author
1051,987,Goodreads Author
1051,988,Illustrator
1052,989,Goodreads Author
1053,990,writer
1054,744,Goodreads Author
1055,991,Goodreads Author
1056,992,writer
1057,993,writer
1058,43,writer
1058,994,Annotations
1059,995,writer
1060,248,Goodreads Author
