name
Douglas Parmée
John Gardner
John Marsden
David James Duncan
Alice Clayton
Afroz Alam
Lawrence Hill
Nikolai Gogol
Robert A. Maguire
Kirsty Moseley
Kennilworthy Whisp
Leo Tolstoy
Aylmer Maude
Mehmet Özgül
Kirsten Fullmer
Michael G. Kramer
Ilona Andrews
John Tiffany
Jack Thorne
Robert Galbraith
Founding Fathers
Trudi Canavan
Amy Plum
Anne Lamott
Richard P. Feynman
Tara Westover
Michel Guyon
Zina Kostich
Robert C. O'Brien
Yuehai Xiao
Liane Moriarty
Roger Zelazny
Tim White
Margaret Sayers Peden
Shannon Messenger
C.J. Roberts
Philip Roth
Flora Rheta Schreiber
M.L. Stedman
Nalini Singh
Alex Garland
Sharon Kay Penman
Graeme Simsion
N.K. Sandars
Carson McCullers
Isaac Marion
Ann Druyan
Cary Elwes
Seth MacFarlane
Lawrence Durrell
Glenda Mendoza
John Updike
John Jakes
Tracey Garvis Graves
David Fishelson
Aaron Leichter
Max Brod
Franz Kafka
Marie Milpois
Carolyn G. Heilbrun
Geoff Dyer
Bettina Blanch Tyroller
Juan Rulfo
Susan Sontag
Connie Willis
Rafael Marín
Dan Dos Santos
Peter A. Bien
T. Rafael Cimino
William Olivier Desmond
Nelson Mandela
Rohith S. Katbamna
Cheryl Strayed
Simon Okill
Vanessa Diffenbaugh
Chris Colfer
Brandon Dorman
Kiersten White
Rick Warren
Cinda Williams Chima
Malala Yousafzai
Christina Lamb
W.B. Yeats
Richard J. Finneran
Katherine Neville
Кэтрин Нэвилл
Jean-Dominique Bauby
Jeremy Leggatt
Stephanie Garber
Sophie Jordan
Steven L. Hopp
Camille Kingsolver
Richard A. Houser
Guy Gavriel Kay
Roberto Bolaño
Natasha Wimmer
Jeffery Deaver
Robert Shea
Robert Anton Wilson
Gena Showalter
Barbara W. Tuchman
Chimamanda Ngozi Adichie
Jason Latshaw
J.S. Latshaw
Stephen E. Ambrose
Anne McCaffrey
Rachel Carson
Linda Lear
Edward O. Wilson
Mark Ford
R. Khokins
Dudley Fitts
Anya Seton
Philippa Gregory
Euripides
Rex Warner
Walter Isaacson
Gail Carriger
Kody Keplinger
Gail Honeyman
Jenny Downham
Eric Schlosser
Andy Szpuk
Octavia E. Butler
Paul Kalanithi
John Jowett
Lauren DeStefano
Robert T. Kiyosaki
Sharon Lechter
Isak Dinesen
Karen Blixen
Lynne Truss
Anne Bishop
Christina Lauren
Ivo Andrić
Lovett F. Edwards
William H. McNeill
James Baldwin
Robin Cook
Gillian Dance
Emily St. John Mandel
Carrie Ryan
John Gray
Friedrich Nietzsche
R.J. Hollingdale
Michael Tanner
Rebecca Donovan
Lara Adrian
Larry Niven
Naomi Novik
Irène Némirovsky
Sandra Smith
Noah Gordon
Megan Whalen Turner
Gary Richard Thompson
Primo Levi
Stuart J. Woolf
Gabriel F.W. Koch
Lev Grossman
